protocol_name,protocol_id,goal_id,goal_text,DeepSeek_result,DeepSeek_confidence,GPT_result,GPT_confidence,results-single-anb-typed-sessions_1-depth_0-2022-PCM.csv_result,results-single-anb-typed-sessions_2-depth_0-2022-PCM.csv_result,results-single-pv-typed-205-PCM.csv_result
Bullet_Channel_Expansion_Secret_AnB.AnBx,PROTO_0016,1,A1 ->* A2: N3,no attack,100,no attack,78,NO_ATTACK,NO_ATTACK,NO_ATTACK
Bullet_Channel_Expansion_Secure_AnB.AnBx,PROTO_0017,1,A2 weakly authenticates A1 on N3,no attack,95,no attack,78,NO_ATTACK,NO_ATTACK,NO_ATTACK
Bullet_Channel_Expansion_Secure_AnB.AnBx,PROTO_0017,2,"N3 secret between A1,A2",no attack,95,no attack,82,NO_ATTACK,NO_ATTACK,NO_ATTACK
Carlsen_AnB.AnBx,PROTO_0018,1,"A2 authenticates a3 on K7,A1",no attack,85,no attack,86,NO_ATTACK,NO_ATTACK,NO_ATTACK
Carlsen_AnB.AnBx,PROTO_0018,2,"A1 authenticates a3 on K7,A2",attack found,90,attack found,92,NO_ATTACK,NO_ATTACK,NO_ATTACK
Carlsen_AnB.AnBx,PROTO_0018,3,"K7 secret between A1,A2,a3",no attack,80,no attack,80,NO_ATTACK,NO_ATTACK,NO_ATTACK
CreditCard_AnB.AnBx,PROTO_0019,1,"A1 weakly authenticates A2 on ccn(A2,A1)",no attack,85,attack found,86,NO_ATTACK,NO_ATTACK,NO_ATTACK
CreditCard_AnB.AnBx,PROTO_0019,2,"ccn(A2,A1) secret between A2,A1",attack found,90,no attack,78,NO_ATTACK,NO_ATTACK,NO_ATTACK
Definition_Test_AnB.AnBx,PROTO_0020,1,"A1 -> A2: fun2(A1,N3)",no attack,95,attack found,86,NO_ATTACK,NO_ATTACK,NO_ATTACK
DenningSacco_AnB.AnBx,PROTO_0021,1,A1 *->* A2: K10,attack found,85,attack found,92,NO_ATTACK,ATTACK,ATTACK
DenningSaccoCorr_AnB.AnBx,PROTO_0022,1,"K10 secret between A1,A2",attack found,85,attack found,78,NO_ATTACK,NO_ATTACK,NO_ATTACK
DenningSaccoCorr_AnB.AnBx,PROTO_0022,2,A2 weakly authenticates A1 on K10,no attack,75,attack found,85,NO_ATTACK,NO_ATTACK,NO_ATTACK
DH_AnB.AnBx,PROTO_0023,1,A2 authenticates A1 on N3,attack found,85,attack found,92,NO_ATTACK,NO_ATTACK,
DH_AnB.AnBx,PROTO_0023,2,"N3 secret between A1,A2",no attack,90,no attack,78,NO_ATTACK,NO_ATTACK,
DH_auth_AnB.AnBx,PROTO_0024,1,"N3 secret between A1,A2",attack found,85,attack found,92,ATTACK,ATTACK,ATTACK
DH_auth_AnB.AnBx,PROTO_0024,2,A2 weakly authenticates A1 on N3,no attack,75,no attack,78,NO_ATTACK,NO_ATTACK,NO_ATTACK
DH_hmac_AnB.AnBx,PROTO_0025,1,"N3 secret between A1,A2",attack found,85,no attack,78,NO_ATTACK,NO_ATTACK,NO_ATTACK
DH_hmac_AnB.AnBx,PROTO_0025,2,A2 authenticates A1 on N3,attack found,90,attack found,86,NO_ATTACK,NO_ATTACK,NO_ATTACK
emv_visa_k3_AnB.AnBx,PROTO_0026,1,"a3 weakly authenticates A1 on N7,N4,fcnUnpred(A2,fcnPDOL(A1,n16)),N9,N5,N6,fcnSeqNo(A1,n16)",attack found,85,attack found,86,ATTACK,ATTACK,NO_ATTACK
emv_visa_k3_pseudo_AnB.AnBx,PROTO_0027,1,"[A2] weakly authenticates A1 on N7,N4,fcnUnpred(A2,fcnPDOL(A1,n16)),N9,N5,N6,fcnSeqNo(A1,n16),fcnUnpred(A1,fcnSeqNo(A1,n16))",attack found,85,attack found,78,NO_ATTACK,,NO_ATTACK
emv_visa_k3_pseudo_AnB.AnBx,PROTO_0027,2,"shk(A1,a3) secret between A1,a3",no attack,95,no attack,90,ATTACK,ATTACK,NO_ATTACK
emv_visa_k3_pseudo_AnB.AnBx,PROTO_0027,3,"a3 weakly authenticates A1 on N7,N4,fcnUnpred(A2,fcnPDOL(A1,n16)),N9,N5,N6,fcnSeqNo(A1,n16)",no attack,90,attack found,84,NO_ATTACK,,NO_ATTACK
EPMO_AnB.AnBx,PROTO_0028,1,"A2 authenticates A1 on N4,N8,a3",attack found,85,attack found,92,NO_ATTACK,,NO_ATTACK
EPMO_AnB.AnBx,PROTO_0028,2,"a3 authenticates A1 on N8,a3,A2",attack found,90,attack found,85,ATTACK,,ATTACK
EPMO_AnB.AnBx,PROTO_0028,3,"N4,N8 secret between A1,A2",no attack,75,attack found,78,NO_ATTACK,,NO_ATTACK
Forward_AnB.AnBx,PROTO_0029,1,A1 ->* A3: N4,attack found,95,attack found,95,ATTACK,ATTACK,ATTACK
Forward_Blind_A_Digest_AnB.AnBx,PROTO_0030,1,"A1 ->* A3: hash(N4,hash(hmac(N4,Hx1A3N4)))",attack found,85,attack found,93,NO_ATTACK,NO_ATTACK,NO_ATTACK
ForwardAny_AnB.AnBx,PROTO_0031,1,A2 weakly authenticates A1 on N4,attack found,85,attack found,92,ATTACK,ATTACK,ATTACK
ForwardAny_AnB.AnBx,PROTO_0031,2,A2 weakly authenticates A1 on N5,attack found,85,attack found,92,ATTACK,ATTACK,ATTACK
Fresh_From_A_AnB.AnBx,PROTO_0032,1,A2 authenticates A1 on N3,attack found,95,attack found,92,NO_ATTACK,NO_ATTACK,NO_ATTACK
Fresh_From_A_AnB.AnBx,PROTO_0032,2,inv(pk(A1)) secret between A1,no attack,100,no attack,97,NO_ATTACK,NO_ATTACK,NO_ATTACK
Fresh_From_A_AnB.AnBx,PROTO_0032,3,inv(sk(A1)) secret between A1,no attack,100,no attack,96,NO_ATTACK,NO_ATTACK,NO_ATTACK
Fresh_From_A_Secret_AnB.AnBx,PROTO_0033,1,"N3 secret between A1,A2",attack found,95,no attack,86,NO_ATTACK,NO_ATTACK,NO_ATTACK
Fresh_From_A_Secret_AnB.AnBx,PROTO_0033,2,A2 authenticates A1 on N3,attack found,90,attack found,92,NO_ATTACK,NO_ATTACK,NO_ATTACK
Fresh_From_A_Secret_AnB.AnBx,PROTO_0033,3,inv(pk(A1)) secret between A1,no attack,100,no attack,95,NO_ATTACK,NO_ATTACK,NO_ATTACK
Fresh_From_A_Secret_AnB.AnBx,PROTO_0033,4,inv(sk(A1)) secret between A1,no attack,100,no attack,93,NO_ATTACK,NO_ATTACK,NO_ATTACK
Fresh_from_A_with_DH_AnB.AnBx,PROTO_0034,1,A1 *-> A2: N3,attack found,85,attack found,92,NO_ATTACK,NO_ATTACK,NO_ATTACK
Fresh_from_A_with_DH_AnB.AnBx,PROTO_0034,2,A2 ->* A1: N4,no attack,90,no attack,78,NO_ATTACK,NO_ATTACK,NO_ATTACK
Fresh_from_A_with_DH_AnB.AnBx,PROTO_0034,3,A1 *-> A2: N4,attack found,80,attack found,90,NO_ATTACK,NO_ATTACK,NO_ATTACK
Fresh_PublicKey_AnB.AnBx,PROTO_0035,1,A2 ->* A1: N3,attack found,95,attack found,95,NO_ATTACK,NO_ATTACK,NO_ATTACK
Fresh_PublicKey_Sign_AnB.AnBx,PROTO_0036,1,A2 weakly authenticates A1 on N3,attack found,95,attack found,92,ATTACK,ATTACK,ATTACK
From_A_AnB.AnBx,PROTO_0037,1,A2 weakly authenticates A1 on N3,no attack,95,attack found,92,NO_ATTACK,NO_ATTACK,NO_ATTACK
From_A_and_Back_AnB.AnBx,PROTO_0038,1,a2 weakly authenticates A1 on N3,no attack,85,attack found,90,NO_ATTACK,NO_ATTACK,NO_ATTACK
From_A_and_Back_AnB.AnBx,PROTO_0038,2,A1 weakly authenticates a2 on N3,attack found,90,no attack,78,NO_ATTACK,NO_ATTACK,NO_ATTACK
From_A_and_Back_AnB.AnBx,PROTO_0038,3,"N3 secret between a2,A1",no attack,80,attack found,96,ATTACK,ATTACK,ATTACK
From_A_Mutual_AnB.AnBx,PROTO_0039,1,A2 weakly authenticates A1 on N3,no attack,95,attack found,92,NO_ATTACK,ATTACK,ATTACK
From_A_Mutual_AnB.AnBx,PROTO_0039,2,A1 weakly authenticates A2 on N3,no attack,95,attack found,90,NO_ATTACK,NO_ATTACK,NO_ATTACK
From_A_Secret_AnB.AnBx,PROTO_0040,1,A2 weakly authenticates A1 on N3,no attack,95,attack found,92,NO_ATTACK,NO_ATTACK,NO_ATTACK
From_A_Secret_AnB.AnBx,PROTO_0040,2,"N3 secret between A1,A2",no attack,90,attack found,85,NO_ATTACK,NO_ATTACK,NO_ATTACK
Goss_AnB.AnBx,PROTO_0041,1,"N3 secret between A1,A2",attack found,95,attack found,78,ATTACK,ATTACK,ATTACK
Goss_AnB.AnBx,PROTO_0041,2,"N4 secret between A1,A2",attack found,95,attack found,78,ATTACK,ATTACK,ATTACK
Goss_AnB.AnBx,PROTO_0041,3,A1 ->* A2: N3,attack found,90,no attack,90,NO_ATTACK,NO_ATTACK,NO_ATTACK
Goss_AnB.AnBx,PROTO_0041,4,A2 ->* A1: N4,attack found,90,no attack,90,NO_ATTACK,NO_ATTACK,NO_ATTACK
GSM_AnB.AnBx,PROTO_0042,1,A1 authenticates A3 on N5,attack found,85,attack found,92,ATTACK,ATTACK,ATTACK
GSM_AnB.AnBx,PROTO_0042,2,"N4 secret between A1,A3",attack found,90,attack found,85,ATTACK,ATTACK,ATTACK
GSM_AnB.AnBx,PROTO_0042,3,A1 ->* A3: N4,attack found,95,attack found,88,ATTACK,ATTACK,ATTACK
H530_AnB.AnBx,PROTO_0043,1,A2 authenticates A1 on N4,attack found,85,attack found,93,NO_ATTACK,ATTACK,ATTACK
H530_AnB.AnBx,PROTO_0043,2,"N4 secret between A1,A2",no attack,90,no attack,78,NO_ATTACK,ATTACK,ATTACK
H530fix_AnB.AnBx,PROTO_0044,1,A1 *->* A2: N4,attack found,85,attack found,78,NO_ATTACK,NO_ATTACK,NO_ATTACK
H530fix_AnB.AnBx,PROTO_0044,2,A2 authenticates A1 on N4,attack found,80,attack found,74,NO_ATTACK,NO_ATTACK,NO_ATTACK
H530fix_AnB.AnBx,PROTO_0044,3,"N4 secret between A1,A2",attack found,90,no attack,67,NO_ATTACK,NO_ATTACK,NO_ATTACK
Hash_AnB.AnBx,PROTO_0045,1,A1 -> A2: hash(N3),no attack,100,attack found,95,NO_ATTACK,NO_ATTACK,NO_ATTACK
Hmac_AnB.AnBx,PROTO_0046,1,"A1 -> A2: hmac(N3,shk(A1,A2))",attack found,95,attack found,78,NO_ATTACK,NO_ATTACK,NO_ATTACK
IKEv2DS_AnB.AnBx,PROTO_0047,1,"A1 authenticates A2 on exp(exp(g,N8),N9)",attack found,85,attack found,78,NO_ATTACK,NO_ATTACK,NO_ATTACK
IKEv2DS_AnB.AnBx,PROTO_0047,2,"A2 authenticates A1 on exp(exp(g,N8),N9)",attack found,85,no attack,64,NO_ATTACK,NO_ATTACK,NO_ATTACK
IKEv2DS_AnB.AnBx,PROTO_0047,3,"exp(exp(g,N8),N9) secret between A1,A2",no attack,90,no attack,70,NO_ATTACK,NO_ATTACK,NO_ATTACK
IKEv2DS_AnB.AnBx,PROTO_0047,4,A1 *->* A2: N3,attack found,80,attack found,85,NO_ATTACK,NO_ATTACK,NO_ATTACK
Insecure_AnB.AnBx,PROTO_0048,1,A1 -> A2: N3,no attack,100,attack found,95,NO_ATTACK,NO_ATTACK,NO_ATTACK
Insecure_AnB.AnBx,PROTO_0048,2,A1 ->* A2: N3,attack found,100,attack found,99,ATTACK,ATTACK,ATTACK
Insecure_Const_AnB.AnBx,PROTO_0049,1,A1 -> A2: n3,no attack,100,attack found,92,NO_ATTACK,NO_ATTACK,NO_ATTACK
Insecure_Const_AnB.AnBx,PROTO_0049,2,A1 ->* A2: n3,attack found,100,attack found,98,ATTACK,ATTACK,ATTACK
ISO4pass_AnB.AnBx,PROTO_0050,1,A2 weakly authenticates A1 on K16,attack found,85,attack found,92,NO_ATTACK,NO_ATTACK,NO_ATTACK
ISO4pass_AnB.AnBx,PROTO_0050,2,A1 authenticates A2 on K16,no attack,90,attack found,90,NO_ATTACK,NO_ATTACK,NO_ATTACK
ISO4pass_AnB.AnBx,PROTO_0050,3,A2 *-> A1: K16,attack found,95,attack found,88,NO_ATTACK,NO_ATTACK,NO_ATTACK
ISO4pass_AnB.AnBx,PROTO_0050,4,"A2 weakly authenticates a3 on K16,A1",no attack,80,attack found,93,ATTACK,ATTACK,ATTACK
ISO4pass_AnB.AnBx,PROTO_0050,5,"A1 authenticates a3 on K16,A2",no attack,85,attack found,85,NO_ATTACK,NO_ATTACK,NO_ATTACK
ISO4pass_AnB.AnBx,PROTO_0050,6,"K16 secret between A1,A2,a3",attack found,75,no attack,72,NO_ATTACK,NO_ATTACK,NO_ATTACK
ISO5pass_AnB.AnBx,PROTO_0051,1,"A2 authenticates a3 on K16,A1",attack found,85,attack found,88,ATTACK,ATTACK,ATTACK
ISO5pass_AnB.AnBx,PROTO_0051,2,"A1 authenticates a3 on K16,A2",attack found,85,attack found,90,ATTACK,ATTACK,ATTACK
ISO5pass_AnB.AnBx,PROTO_0051,3,"K16 secret between A1,A2,a3",no attack,90,attack found,75,NO_ATTACK,NO_ATTACK,NO_ATTACK
ISOCCFOnePassUnilateralAuthProt_AnB.AnBx,PROTO_0052,1,A2 weakly authenticates A1 on N5,attack found,95,attack found,95,NO_ATTACK,NO_ATTACK,NO_ATTACK
ISOCCFThreePassMutual_AnB.AnBx,PROTO_0053,1,A1 *-> A2: N6,attack found,95,attack found,90,NO_ATTACK,NO_ATTACK,NO_ATTACK
ISOCCFThreePassMutual_AnB.AnBx,PROTO_0053,2,A2 *-> A1: N8,attack found,95,no attack,72,NO_ATTACK,NO_ATTACK,NO_ATTACK
ISOCCFTwoPassMutualAuthProtCorr_AnB.AnBx,PROTO_0054,1,A2 weakly authenticates A1 on N5,attack found,85,attack found,92,ATTACK,ATTACK,ATTACK
ISOCCFTwoPassMutualAuthProtCorr_AnB.AnBx,PROTO_0054,2,A1 weakly authenticates A2 on N7,attack found,85,attack found,92,NO_ATTACK,NO_ATTACK,NO_ATTACK
ISOCCFTwoPassUnilateralAuthProt_AnB.AnBx,PROTO_0055,1,A1 *-> A2: N5,attack found,95,attack found,92,NO_ATTACK,NO_ATTACK,NO_ATTACK
ISOpubKeyOnePassUnilateralAuthProt_AnB.AnBx,PROTO_0056,1,A2 weakly authenticates A1 on N5,attack found,85,attack found,92,NO_ATTACK,NO_ATTACK,NO_ATTACK
ISOpubKeyTwoPassMutualAuthProt_AnB.AnBx,PROTO_0057,1,A2 weakly authenticates A1 on N6,attack found,85,attack found,92,NO_ATTACK,ATTACK,NO_ATTACK
ISOpubKeyTwoPassMutualAuthProt_AnB.AnBx,PROTO_0057,2,A1 weakly authenticates A2 on N8,attack found,85,attack found,92,NO_ATTACK,ATTACK,
ISOpubKeyTwoPassMutualAuthProtCorr_AnB.AnBx,PROTO_0058,1,A2 weakly authenticates A1 on N6,attack found,85,attack found,92,NO_ATTACK,NO_ATTACK,NO_ATTACK
ISOpubKeyTwoPassMutualAuthProtCorr_AnB.AnBx,PROTO_0058,2,A1 weakly authenticates A2 on N8,attack found,85,attack found,90,NO_ATTACK,NO_ATTACK,NO_ATTACK
ISOpubKeyTwoPassUnilateralAuthProt_AnB.AnBx,PROTO_0059,1,A1 *-> A2: N7,attack found,85,attack found,92,ATTACK,ATTACK,ATTACK
ISOsymKeyOnePassUnilateralAuthProt_AnB.AnBx,PROTO_0060,1,A2 weakly authenticates A1 on N4,no attack,95,attack found,78,NO_ATTACK,NO_ATTACK,NO_ATTACK
ISOsymKeyThreePassMutual_AnB.AnBx,PROTO_0061,1,A1 *-> A2: N6,no attack,85,attack found,78,NO_ATTACK,NO_ATTACK,NO_ATTACK
ISOsymKeyThreePassMutual_AnB.AnBx,PROTO_0061,2,A2 *-> A1: N8,attack found,90,attack found,74,NO_ATTACK,NO_ATTACK,NO_ATTACK
ISOsymKeyTwoPassMutualAuthProtCorr_AnB.AnBx,PROTO_0062,1,A1 weakly authenticates A2 on N7,attack found,85,attack found,90,NO_ATTACK,NO_ATTACK,NO_ATTACK
ISOsymKeyTwoPassMutualAuthProtCorr_AnB.AnBx,PROTO_0062,2,A2 weakly authenticates A1 on N5,attack found,85,attack found,90,NO_ATTACK,NO_ATTACK,NO_ATTACK
ISOsymKeyTwoPassUnilateralAuthProt_AnB.AnBx,PROTO_0063,1,A1 *-> A2: N5,no attack,95,attack found,86,NO_ATTACK,NO_ATTACK,NO_ATTACK
Kerberos_PKINIT_AnB.AnBx,PROTO_0064,1,a4 *->* A1: N7,attack found,85,attack found,86,ATTACK,ATTACK,ATTACK
KeyEx1_AnB.AnBx,PROTO_0065,1,"A1 authenticates a3 on K4,A2",attack found,85,attack found,95,ATTACK,ATTACK,ATTACK
KeyEx1_AnB.AnBx,PROTO_0065,2,"A2 authenticates a3 on K4,A1",attack found,90,attack found,97,ATTACK,ATTACK,ATTACK
KeyEx1_AnB.AnBx,PROTO_0065,3,"K4 secret between A1,A2,a3",attack found,95,attack found,99,ATTACK,ATTACK,ATTACK
KeyEx2_AnB.AnBx,PROTO_0066,1,"A1 authenticates a3 on K4,A2",no attack,85,attack found,92,ATTACK,ATTACK,ATTACK
KeyEx2_AnB.AnBx,PROTO_0066,2,"A2 authenticates a3 on K4,A1",attack found,90,attack found,95,ATTACK,ATTACK,ATTACK
KeyEx2_AnB.AnBx,PROTO_0066,3,"K4 secret between A1,A2,a3",no attack,80,attack found,80,ATTACK,ATTACK,ATTACK
KeyEx3_AnB.AnBx,PROTO_0067,1,"A1 authenticates a3 on K4,A2",no attack,85,attack found,92,ATTACK,ATTACK,ATTACK
KeyEx3_AnB.AnBx,PROTO_0067,2,"A2 authenticates a3 on K4,A1",attack found,90,attack found,90,ATTACK,ATTACK,ATTACK
KeyEx3_AnB.AnBx,PROTO_0067,3,"K4 secret between A1,A2,a3",no attack,80,no attack,78,NO_ATTACK,NO_ATTACK,NO_ATTACK
KeyEx3b_AnB.AnBx,PROTO_0068,1,"A1 authenticates a3 on K4,A2",no attack,90,attack found,92,NO_ATTACK,ATTACK,ATTACK
KeyEx3b_AnB.AnBx,PROTO_0068,2,"A2 authenticates a3 on K4,A1",attack found,85,attack found,95,NO_ATTACK,ATTACK,ATTACK
KeyEx3b_AnB.AnBx,PROTO_0068,3,"K4 secret between A1,A2,a3",no attack,95,no attack,78,NO_ATTACK,NO_ATTACK,NO_ATTACK
KeyEx4_AnB.AnBx,PROTO_0069,1,"A1 authenticates a3 on K6,A2",no attack,85,attack found,78,NO_ATTACK,ATTACK,ATTACK
KeyEx4_AnB.AnBx,PROTO_0069,2,"A2 authenticates a3 on K6,A1",attack found,90,attack found,74,NO_ATTACK,ATTACK,ATTACK
KeyEx4_AnB.AnBx,PROTO_0069,3,"K6 secret between A1,A2,a3",no attack,80,no attack,67,NO_ATTACK,NO_ATTACK,NO_ATTACK
KeyEx4b_AnB.AnBx,PROTO_0070,1,"A1 authenticates a3 on K6,A2",no attack,85,no attack,78,NO_ATTACK,NO_ATTACK,NO_ATTACK
KeyEx4b_AnB.AnBx,PROTO_0070,2,"A2 authenticates a3 on K6,A1",attack found,90,attack found,86,NO_ATTACK,ATTACK,ATTACK
KeyEx4b_AnB.AnBx,PROTO_0070,3,"K6 secret between A1,A2,a3",no attack,80,no attack,74,NO_ATTACK,NO_ATTACK,NO_ATTACK
KeyEx5_AnB.AnBx,PROTO_0071,1,"A1 authenticates a3 on K6,A2",no attack,85,attack found,78,ATTACK,ATTACK,ATTACK
KeyEx5_AnB.AnBx,PROTO_0071,2,"A2 authenticates a3 on K6,A1",attack found,90,attack found,85,ATTACK,ATTACK,ATTACK
KeyEx5_AnB.AnBx,PROTO_0071,3,"K6 secret between A1,A2,a3",no attack,80,no attack,72,NO_ATTACK,NO_ATTACK,NO_ATTACK
KeyEx5b_AnB.AnBx,PROTO_0072,1,"A1 authenticates a3 on K6,A2",no attack,85,attack found,86,NO_ATTACK,ATTACK,ATTACK
KeyEx5b_AnB.AnBx,PROTO_0072,2,"A2 authenticates a3 on K6,A1",attack found,90,attack found,90,NO_ATTACK,ATTACK,ATTACK
KeyEx5b_AnB.AnBx,PROTO_0072,3,"K6 secret between A1,A2,a3",no attack,95,no attack,78,NO_ATTACK,NO_ATTACK,NO_ATTACK
KeyEx5c_AnB.AnBx,PROTO_0073,1,"A1 authenticates a3 on K6,A2",no attack,85,attack found,90,NO_ATTACK,NO_ATTACK,NO_ATTACK
KeyEx5c_AnB.AnBx,PROTO_0073,2,"A2 authenticates a3 on K6,A1",attack found,90,attack found,92,NO_ATTACK,NO_ATTACK,NO_ATTACK
KeyEx5c_AnB.AnBx,PROTO_0073,3,"K6 secret between A1,A2,a3",no attack,80,no attack,78,NO_ATTACK,NO_ATTACK,NO_ATTACK
KeyEx6_AnB.AnBx,PROTO_0074,1,"A1 authenticates a3 on K6,A2",no attack,85,attack found,90,NO_ATTACK,NO_ATTACK,NO_ATTACK
KeyEx6_AnB.AnBx,PROTO_0074,2,"A2 authenticates a3 on K6,A1",attack found,90,attack found,88,NO_ATTACK,NO_ATTACK,NO_ATTACK
KeyEx6_AnB.AnBx,PROTO_0074,3,"K6 secret between A1,A2,a3",no attack,80,no attack,80,NO_ATTACK,NO_ATTACK,NO_ATTACK
